subject_id,T001s: Country,T001s: County,T001s: State/Province,T002t: Scientific Name,T003t: Location,T006t: Collected By,T008s: Month,T009s: Day,T010s: Year,T012t: Other Notes,T013s: Sex,T016t: Latitude,T017t: Longitude,T018t: Elevation,T020t: DNA Voucher Number,subject_associatedCollectors,subject_associatedTaxa,subject_basisOfRecord,subject_catalogNumber,subject_class,subject_collectionCode,subject_coordinateUncertaintyInMeters,subject_country,subject_county,subject_cultivationStatus,subject_dataGeneralizations,subject_dateIdentified,subject_day,subject_decimalLatitude,subject_decimalLongitude,subject_disposition,subject_dynamicProperties,subject_endDayOfYear,subject_establishmentMeans,subject_eventDate,subject_family,subject_fieldNumber,subject_file1,subject_file2,subject_genus,subject_geodeticDatum,subject_georeferenceProtocol,subject_georeferenceRemarks,subject_georeferenceSources,subject_georeferenceVerificationStatus,subject_georeferencedBy,subject_habitat,subject_identificationQualifier,subject_identificationReferences,subject_identificationRemarks,subject_identifiedBy,subject_individualCount,subject_informationWithheld,subject_infraspecificEpithet,subject_institutionCode,subject_kingdom,subject_lifeStage,subject_locality,subject_localitySecurity,subject_localitySecurityReason,subject_locationRemarks,subject_maximumDepthInMeters,subject_maximumElevationInMeters,subject_minimumDepthInMeters,subject_minimumElevationInMeters,subject_month,subject_municipality,subject_occurrenceID,subject_occurrenceRemarks,subject_order,subject_otherCatalogNumbers,subject_phylum,subject_preparations,subject_recordNumber,subject_recordedBy,subject_recordedByID,subject_reproductiveCondition,subject_retired,subject_samplingEffort,subject_samplingProtocol,subject_scientificName,subject_scientificNameAuthorship,subject_sex,subject_specificEpithet,subject_startDayOfYear,subject_stateProvince,subject_substrate,subject_taxonRank,subject_taxonRemarks,subject_typeStatus,subject_verbatimAttributes,subject_verbatimCoordinates,subject_verbatimDepth,subject_verbatimElevation,subject_verbatimEventDate,subject_year
2192661,United States of America,Cameron,Texas,Pupiliamumiko,Las Palomas W.M.A. Longoria Unit El. 90',June & Floyd Preston,10 - October - X,15,2006,"F&J Preston colln., MGCL Accession #2007-17",Not shown,,,90',LEP-33586,,,PreservedSpecimen,HLOPP03,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP03Dorsal.JPG,HLOPP03Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T16:43:35.151Z', 'workflow_id': 2054, 'id': 1979786, 'subject_id': 2192661, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T16:10:42.041Z', 'retired_at': '2016-06-20T16:10:41.935Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192666,United States of America,,Texas,Papilio rumiko,"Las Polomes W.M.A.
Longon's Limit E690'
Canyoters Co. Tomas ?","June Preston , Floyd Preston",10 - October - X,15,2006,,Not shown,,,,LEP-33587,,,PreservedSpecimen,HLOPP04,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP04Dorsal.JPG,HLOPP04Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T15:54:36.375Z', 'workflow_id': 2054, 'id': 1984839, 'subject_id': 2192666, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T21:23:46.744Z', 'retired_at': '2016-06-20T21:23:46.518Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192668,United States of America,Sierra,California,P. eurryprodon(?),"San Francisco State University
Sierra Nevada Field Camp Near Bassett",June & Floyd Preston,6 - June - VI,26,2004,,Not shown,,,5500',LEP 33584,,,PreservedSpecimen,HLOPP05,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP05Dorsal.JPG,HLOPP05Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-20T21:29:08.743Z', 'workflow_id': 2054, 'id': 1990357, 'subject_id': 2192668, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-24T17:20:20.276Z', 'retired_at': '2016-06-24T17:20:20.244Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192674,United States of America,Wasco,Oregon,P. eurymedon,Forest Service Rd 48/Forest Service Rd 4860 junction Mt. Hood National Forest,"June &
Floyd Preston",1 - January - I,21,2005,F & J Preston calls. MGCL Acc. no 2006-22. 265,Not shown,,,3400',LEP-33585,,,PreservedSpecimen,HLOPP06,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP06Dorsal.JPG,HLOPP06Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-18T18:58:17.641Z', 'workflow_id': 2054, 'id': 1987244, 'subject_id': 2192674, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-21T23:25:42.887Z', 'retired_at': '2016-06-21T23:25:42.812Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192676,Brazil,,,P. androgy,Parana,Kent Wilson,11 - November - XI,22,1958,"HLOPP 100
Kent Wilson Coll., MGCL Acc# 2009-24",Not shown,,,,,,,PreservedSpecimen,HLOPP100,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP100Dorsal.JPG,HLOPP100Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:34:09.657Z', 'workflow_id': 2054, 'id': 1980678, 'subject_id': 2192676, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-17T23:17:19.211Z', 'retired_at': '2016-06-17T23:17:19.181Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192678,El Salvador,,,P androgeus,Plan del Malasano. Ah Chapan.,K H Wilson,5 - May - V,1,1986,Ex-pupa. PHOTOGRAPHED specimen (20/H Tyler; Brown; & Wilson; 1992. Swallowtail Butterflies of the Americas Pl/fig 87/6,Female,,,850 m,,,,PreservedSpecimen,HLOPP101,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP101Dorsal.JPG,HLOPP101Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-18T03:50:36.856Z', 'workflow_id': 2054, 'id': 1986093, 'subject_id': 2192678, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-28T15:46:40.817Z', 'retired_at': '2016-06-28T15:46:40.781Z'}",,,,,,,,,,,,,,,,,,
2192680,India,,,,"Khasia Hills, Hamilton",Herbert Drace,Not Shown,Not Shown,1902,<NO MATCHES>,Not shown,,,,,,,PreservedSpecimen,HLOPP116,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP116Dorsal.JPG,HLOPP116Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T22:33:25.937Z', 'workflow_id': 2054, 'id': 1985812, 'subject_id': 2192680, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-21T21:46:19.884Z', 'retired_at': '2016-06-21T21:46:19.838Z'}",,,,,,,,,,,,,,,,,,
2192681,India,,,,,,Not Shown,Not Shown,Not Shown,,Not shown,,,,,,,PreservedSpecimen,HLOPP117,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP117Dorsal.JPG,HLOPP117Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-19T13:43:19.977Z', 'workflow_id': 2054, 'id': 1988271, 'subject_id': 2192681, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-27T20:14:48.094Z', 'retired_at': '2016-06-27T20:14:48.013Z'}",,,,,,,,,,,,,,,,,,
2192687,India,,,Papilis Casyake,"Calcutta, Barrackpore Park",G.A.J. Rothney pres.,Not Shown,Not Shown,1910,,Not shown,,,,,,,PreservedSpecimen,HLOPP118,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP118Dorsal.JPG,HLOPP118Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:26:31.411Z', 'workflow_id': 2054, 'id': 1980579, 'subject_id': 2192687, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T22:05:10.451Z', 'retired_at': '2016-06-20T22:05:10.367Z'}",,,,,,,,,,,,,,,,,,
2192690,India,,,,Assam,,Not Shown,Not Shown,Not Shown,Allyn Museum; Acc. 1966-1; HLOPP119,Not shown,,,,,,,PreservedSpecimen,HLOPP119,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP119Dorsal.JPG,HLOPP119Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T22:56:31.649Z', 'workflow_id': 2054, 'id': 1985874, 'subject_id': 2192690, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T16:47:29.622Z', 'retired_at': '2016-06-22T16:47:29.539Z'}",,,,,,,,,,,,,,,,,,
